,Education,Never went to school or completed primary school,Completed primary education,Completed Junior Certificate,Completed Leaving Certficicate,Completed Third Level Education,Not known,
2014,Roscommon,~,9,34,35,6,9,95
2014,Sligo,~,33,64,63,22,85,271
2014,Tipperary,27,144,288,184,42,94,779
2014,Waterford,15,115,270,240,35,119,794
2014,Westmeath,12,71,96,92,27,194,492
2014,Wicklow,13,56,169,89,31,39,397
2014,Wexford,14,132,207,206,48,103,710
2014,Outside Ireland,0,~,15,15,17,8,59
2014,Address unknown Ireland,~,20,29,21,5,28,106
2014,Totals,443,2989,5507,4110,1157,3444,17650
2015,Cork,18,226,707,577,186,396,2110
2015,Clare,~,28,82,107,33,87,339
2015,Cavan,~,11,33,23,22,43,133
2015,Carlow,~,51,113,72,11,21,272
2015,Dublin,186,1215,2100,1064,374,968,5907
2015,Donegal,15,99,125,118,76,73,506
2015,Galway,17,122,141,135,71,66,552
2015,Kilkenny,~,47,108,74,27,27,284
2015,Kildare,~,47,129,77,38,50,343
2015,Kerry,11,103,189,232,62,87,684
2015,Limerick,21,99,175,179,60,182,716
2015,Longford,16,33,41,58,17,40,205
2015,Louth,13,63,131,63,22,121,413
2015,Leitrim,~,0,5,12,9,65,92
2015,Laois,6,13,75,63,18,22,197
2015,Meath,7,32,90,89,25,33,276
2015,Monaghan,~,10,18,14,8,51,103
2015,Mayo,~,18,47,46,19,26,159
2015,Offaly,17,57,109,95,18,38,334
2015,Roscommon,~,22,45,38,11,13,130
2015,Sligo,5,36,85,86,34,74,320
2015,Tipperary,10,94,288,209,34,113,748
2015,Waterford,18,149,320,226,52,81,846
2015,Westmeath,12,97,109,102,34,121,475
2015,Wicklow,16,46,151,107,41,48,409
2015,Wexford,15,153,231,229,66,81,775
2015,Outside Ireland,~,~,18,21,22,13,79
2015,Address unknown Ireland,7,13,26,27,~,26,103
2015,Totals,428,2888,5691,4143,1394,2966,17510
2016,Cork,23,250,699,642,185,174,1973
2016,Clare,5,39,83,89,30,59,305
2016,Cavan,9,27,41,35,20,43,175
2016,Carlow,~,42,90,59,13,9,217
2016,Dublin,144,1159,1966,1144,389,772,5574
2016,Donegal,12,130,167,188,85,77,659
2016,Galway,9,105,166,143,78,57,558
2016,Kilkenny,~,40,111,74,30,21,279
2016,Kildare,~,30,113,69,21,69,304
2016,Kerry,10,95,197,246,46,50,644
2016,Limerick,15,112,255,234,57,87,760
2016,Longford,~,23,45,41,10,21,144
2016,Louth,5,61,124,77,35,124,426
2016,Leitrim,~,6,11,12,9,53,93
2016,Laois,7,30,117,65,19,19,257
2016,Meath,~,35,92,73,32,44,280
2016,Monaghan,~,~,21,28,12,73,139
2016,Mayo,~,24,37,38,29,32,163
2016,Offaly,5,25,75,74,14,21,214
2016,Roscommon,6,17,38,45,10,17,133
2016,Sligo,~,13,62,79,28,63,247
2016,Tipperary,10,105,274,232,35,74,730
2016,Waterford,5,138,297,219,77,46,782
2016,Westmeath,15,81,111,95,38,115,455
2016,Wicklow,13,44,86,97,31,28,299
2016,Wexford,11,150,243,222,53,59,738
2016,Outside Ireland,~,~,19,17,24,8,72
2016,Address unknown Ireland,8,51,67,51,10,63,250
2016,Totals,338,2839,5607,4388,1420,2278,16870
